English,Turkish
belong,ait olmak
whoo,kim
perfectly,mükemmel bir şekilde
amy,amy
forgotten,unutulmuş
remain,kalmak
original,orijinal
papa,papaz
onto,üzerine
concerned,endişeli
credit,kredi
ugh,ugh
invited,davetli
discuss,tartışmak
research,Araştırma
easier,Daha kolay
view,görüş
chair,sandalye
hurts,canı yanmak
strike,vuruş
roger,Roger
fill,doldurmak
condition,şart
mountain,dağ
dr,dr
nowhere,Hiçbir yerde
sheriff,şerif
kim,KIM
turning,dönme
brown,kahverengi
recognize,tanımak
heads,kafalar
audience,kitle
all,Tümü
jealous,kıskanç
pretend,numara yapmak
society,toplum
finding,bulma
shirt,gömlek
comfortable,rahat
meaning,anlam
guest,misafir
pieces,parçalar
dry,kuru
letting,izin vermek
began,başlamak
aye,aye
jeff,jeff
female,dişi
release,serbest bırakmak
ho,ho
cards,kartlar
pray,dua etmek
unfortunately,Ne yazık ki
balls,toplar
destroyed,yerlebir edilmiş
ended,Bitti
universe,Evren
prepare,Hazırlamak
opinion,fikir
movies,filmler
soldier,asker
wash,yıkamak
program,program
heat,sıcaklık
usual,her zamanki
ticket,bilet
stolen,çalınmak
prefer,tercih etmek
aware,farkında olmak
surely,kesinlikle
male,erkek
base,temel
matters,önemli
lift,kaldırmak
lab,laboratuvar
command,emretmek
proof,kanıt
cream,krem
selling,satış
believed,inanmak
create,oluşturmak
h,H
afford,gücü yetmek
sunday,Pazar
total,Toplam
dumb,aptal
threw,attı
france,Fransa
birth,doğum
created,yaratılmış
realized,gerçekleştirilen
british,ingiliz
noise,"gürültü, ses"
nuts,Fındık
students,öğrenciler
birds,kuşlar
social,sosyal
brilliant,Muhteşem
bodies,bedenler
tie,bağlamak
opened,açıldı
ours,bizim
bucks,dolap
kevin,kevin
mister,mister
ugly,çirkin
ryan,ryan
focus,odak
dan,dan
opens,açmak
exist,mevcut
followed,takip etti
england,İngiltere
draw,Berabere
purpose,amaç
letters,Edebiyat
daniel,Daniel
opening,açılış
bullet,mermi
anna,anna
lately,son zamanlarda
stayed,kaldı
falling,düşme
season,mevsim
ends,bitirmek
suggest,önermek
joy,neşe
distance,mesafe
responsibility,sorumluluk
whenever,ne zaman olursa
issue,sorun
thousands,binlerce kişi
process,işlem
sword,Kılıç
shower,duş
weak,zayıf
fucked,becerdin
lonely,yalnız
happiness,mutluluk
eric,erik
tiny,minik
desk,çalışma masası
pool,havuz
property,Emlak
forced,zoraki
settle,yerleşmek
indistinct,belirsiz
weight,ağırlık
received,Alınan
gang,çete
bite,lokma
friday,Cuma
disappeared,ortadan kayboldu
interview,röportaj yapmak
expecting,beklemek
kinda,gibi
surgery,ameliyat
horses,atlar
mayor,Belediye Başkanı
babe,bebeğim
ancient,Antik
handsome,yakışıklı
thomas,thomas
saturday,Cumartesi
staff,Personel
lines,çizgiler
unit,birim
fan,fan
gentleman,beyefendi
introduce,tanıtmak
fate,kader
split,bölmek
recently,son günlerde
expected,beklenen
add,Ekle
ordered,emir
slowly,yavaş yavaş
alarm,alarm
member,üye
slept,uyku
signed,imzalanmış
enter,girmek
spanish,İspanyol
garden,Bahçe
brings,getirmek
brave,cesur
pig,domuz
model,model
finger,parmak
medicine,ilaç
access,erişim
failed,başarısız oldu
flat,düz
easily,kolayca
discovered,keşfetti
based,temelli
screw,vida
insane,inanılmaz
cares,umursamak
weather,hava
fingers,parmaklar
san,san
scott,Scott
path,yol
soft,yumuşak
harm,zarar
style,stil
community,topluluk
sees,görür
basically,temel olarak
al,AL
signal,sinyal
nope,Hayır
spare,kıyamamak
speech,konuşma
covered,kapalı
shake,sallamak
loose,gevşetmek
snow,kar
russian,Rusça
lake,göl
bright,parlak
roof,çatı
ohh,Aah
sending,gönderme
paint,boyamak
remind,hatırlatmak
pal,palavra
naked,çıplak
post,İleti
sugar,Şeker
heading,başlık
streets,sokaklar
damage,zarar
silence,sessizlik
doors,kapılar
pete,pete
ed,ed vurmak
success,başarı
wet,ıslak
nah,Hayır
amount,miktar
members,üyeler
kate,kate
manage,üstesinden gelmek
safety,Emniyet
returned,iade
harder,Daha güçlü
fbi,FBI
block,engellemek
showing,gösterme
fancy,süslü
chef,şef
contract,sözleşme
dig,kazmak
chest,göğüs
good-bye,Güle güle
drinks,içecekler
dave,davet etmek
buried,gömülü
brian,Brian
trade,Ticaret
journey,seyahat
stomach,karın
changes,değişiklikler
details,detaylar
thoughts,düşünceler
divorce,boşanmak
funeral,cenaze
maria,Maria
football,Futbol
reality,gerçeklik
theory,teori
gosh,Allah Allah
ruined,harap
gate,geçit
william,William
spread,yayılmış
outta,çıkmak
japanese,Japonca
sudden,birden
coat,Kaban
sooner,Er
cheese,peynir
larry,larry
spring,Bahar
page,sayfa
ears,kulaklar
simon,Simon
castle,kale
hidden,gizlenmiş
storm,fırtına
cos,cos
personally,Şahsen
artist,sanatçı
hill,Tepe
exciting,heyecan verici
permission,izin
jerry,Jerry
expensive,masraflı
tickets,biletler
forest,Orman
barely,neredeyse
eggs,yumurtalar
goin,içeri gir
regret,pişmanlık
lesson,ders
lover,sevgili
bread,ekmek
andy,andy
subject,ders
legal,yasal
growing,büyüyen
ill,hasta
jason,jason
mood,mod
owner,sahip
caused,neden oldu
beeping,bip sesi çıkarmak
points,puan
dating,tanışma
loss,kayıp
secretary,Sekreter
revenge,intikam
santa,Noel Baba
likely,büyük ihtimalle
rent,kira
connection,bağlantı
assistant,asistan
reasons,sebepler
yelling,bağırmak
painting,tablo
trees,ağaçlar
doctors,doktorlar
rush,acele etmek
foreign,Dış
rough,kaba
murderer,katil
century,Yüzyıl
nights,geceler
pair,çift
runs,koşar
pocket,cep
farm,Çiftlik
matt,mat
bike,bisiklet
obvious,açık
ate,yemek yedi
grew,büyüdü
professional,profesyonel
tim,tim
goodness,iyilik
parts,parçalar
alan,alan
university,Üniversite
square,Meydan
grandfather,Büyük baba
europe,Avrupa
genius,dahi
cases,davalar
ruin,harabe
winter,kış mevsimi
tongue,dil
memories,hatıralar
da,Da
buying,satın alma
cancer,Yengeç Burcu
clock,saat
ocean,okyanus
dna,DNA
liar,yalancı
tour,tur
thief,hırsız
bleep,kandırmak
lisa,Lisa
rights,Haklar
including,dahil olmak üzere
competition,yarışma
smith,smith
planned,planlanan
emily,emily
boring,sıkıcı
victims,mağdurlar
mentioned,adı geçen
bones,kemikler
plant,bitki
bless,kutsamak
warning,uyarı
knocking,vurma
re,tekrar
crash,kaza
bedroom,yatak odası
lower,daha düşük
silver,gümüş rengi
groaning,ingilizce
madame,Madam
defense,savunma
results,Sonuçlar
toilet,tuvalet
event,Etkinlik
complicated,karmaşık
shape,şekil
priest,rahip
royal,Kraliyet
cheap,ucuz
romantic,romantik
downstairs,alt kat
invite,Davet et
fortune,talih
tears,göz yaşları
avoid,önlemek
reached,ulaşmış
higher,daha yüksek
familiar,tanıdık
telephone,telefon
burning,yanan
filled,doldurulmuş
kelly,kelly
alice,alice
airport,havalimanı
jobs,Meslekler
grown,yetiştirilen
walter,vahşet
rachel,rachel
giant,dev
insurance,sigorta
woods,orman
